Customer ID,Customer_Recency,Customer_Frequency,Customer_Monetary,Customer_Lifetime,Customer_Total_Profit,Country,Segment,Cluster,Segment_Name
AW-10930,36,22,10230.96,1422,2585.88,United States,Home Office,1,At-Risk Customers
AW-840,57,7,1947.0,1369,-228.42,Turkey,Consumer,2,New Customers
AW-930,38,6,782.06,864,95.08,Morocco,Home Office,2,New Customers
AY-10555,15,16,5446.61,1351,1850.52,United States,Corporate,1,At-Risk Customers
AY-555,36,11,3096.42,1185,440.46,Iran,Corporate,2,New Customers
AZ-10750,71,18,9639.8,1315,1606.56,United States,Consumer,1,At-Risk Customers
AZ-750,27,10,2231.28,1330,-682.2,Turkey,Consumer,2,New Customers
BB-10990,15,30,9064.53,1352,177.07,United States,Corporate,1,At-Risk Customers
BB-11545,29,26,15797.57,1147,1686.66,United States,Corporate,1,At-Risk Customers
BB-1545,50,5,207.23,806,52.19,Zambia,Corporate,2,New Customers
BB-990,51,7,822.29,874,122.36,Sudan,Corporate,2,New Customers
BC-11125,34,28,14789.45,1326,2755.68,Spain,Home Office,1,At-Risk Customers
BC-1125,30,6,396.04,1363,-269.72,Turkey,Home Office,2,New Customers
BD-11320,6,32,13390.27,1344,1409.62,United States,Consumer,1,At-Risk Customers
BD-11500,20,27,13089.85,1438,2412.36,United States,Consumer,1,At-Risk Customers
BD-11560,8,19,9356.78,1423,1909.86,Germany,Home Office,1,At-Risk Customers
BD-11605,98,19,9202.66,1354,1201.18,United States,Consumer,1,At-Risk Customers
BD-11620,50,25,7849.0,1352,448.51,Philippines,Consumer,1,At-Risk Customers
BD-11635,10,25,11230.7,1350,1303.62,Germany,Consumer,1,At-Risk Customers
BD-11725,5,30,10877.83,1373,1574.14,United States,Consumer,1,At-Risk Customers
BD-11770,36,26,10168.33,1280,2397.81,United States,Consumer,1,At-Risk Customers
BD-1320,6,6,1885.05,512,213.06,Poland,Consumer,2,New Customers
BD-1500,399,3,52.05,703,-31.29,Morocco,Consumer,3,VIP Customers
BD-1560,91,5,1564.02,1025,114.84,Poland,Home Office,2,New Customers
BD-1605,276,5,689.64,632,224.49,Israel,Consumer,0,Loyal Customers
BD-1620,118,11,2919.6,1210,535.92,Iraq,Consumer,2,New Customers
BD-1635,325,9,5689.26,983,1488.69,Iran,Consumer,0,Loyal Customers
BD-1725,101,13,5078.4,1347,901.02,Israel,Consumer,2,New Customers
BD-1770,239,5,3405.07,1192,-869.54,Turkey,Consumer,0,Loyal Customers
BE-11335,36,37,27158.02,1323,7790.7,China,Home Office,1,At-Risk Customers
BE-11410,85,30,16552.07,1268,3398.1,United Kingdom,Consumer,1,At-Risk Customers
BE-11455,4,27,17643.53,1395,517.91,United States,Home Office,1,At-Risk Customers
BE-1335,573,5,1321.15,563,-380.69,Uganda,Home Office,3,VIP Customers
BE-1410,22,7,1859.86,1342,391.06,Senegal,Consumer,2,New Customers
BE-1455,147,2,1340.31,400,460.11,Angola,Home Office,0,Loyal Customers
BF-1005,735,2,732.03,612,176.43,Niger,Home Office,3,VIP Customers
BF-1020,97,7,3007.0,402,-193.13,Turkey,Corporate,2,New Customers
BF-1080,210,6,3808.17,953,896.94,Canada,Consumer,0,Loyal Customers
BF-10975,36,22,8104.78,1231,1217.01,United States,Corporate,1,At-Risk Customers
BF-11005,9,25,23347.84,1185,939.24,United States,Home Office,1,At-Risk Customers
BF-11020,16,24,10201.28,1399,1133.26,United States,Corporate,1,At-Risk Customers
BF-11080,26,21,10134.56,1347,1187.57,Australia,Consumer,1,At-Risk Customers
BF-11170,17,31,22314.84,1342,3859.22,United States,Home Office,1,At-Risk Customers
BF-11215,27,27,12968.94,1388,878.91,Australia,Home Office,1,At-Risk Customers
BF-11275,7,23,9578.6,1374,565.07,Cuba,Corporate,1,At-Risk Customers
BF-1170,194,6,904.92,562,275.88,Poland,Home Office,0,Loyal Customers
BF-1215,118,5,398.92,510,-237.59,Zimbabwe,Home Office,0,Loyal Customers
BF-1275,129,7,1009.97,990,96.38,Turkey,Corporate,0,Loyal Customers
BF-975,23,8,1730.23,1175,616.72,Saudi Arabia,Corporate,2,New Customers
BG-1035,601,1,124.42,0,-219.8,Lithuania,Consumer,3,VIP Customers
BG-11035,29,33,19899.15,1163,1749.98,United States,Consumer,1,At-Risk Customers
BG-11695,10,19,10723.32,1321,568.97,United States,Corporate,1,At-Risk Customers
BG-11740,7,24,14689.34,1373,2084.92,France,Consumer,1,At-Risk Customers
BG-1695,45,5,488.85,1297,-151.65,Nigeria,Corporate,2,New Customers
BG-1740,17,4,692.45,180,-658.3,Turkey,Consumer,2,New Customers
BH-11710,24,31,23537.34,1432,3243.94,United States,Consumer,1,At-Risk Customers
BH-1710,94,10,4583.29,1004,1633.0,Romania,Consumer,2,New Customers
BK-11260,27,27,13294.69,1334,2389.45,United States,Consumer,1,At-Risk Customers
BK-1260,41,6,291.56,1137,58.22,Turkey,Consumer,2,New Customers
BM-11140,9,29,25312.29,1202,-1140.64,United States,Consumer,1,At-Risk Customers
BM-1140,14,6,1857.69,1295,43.71,Ukraine,Consumer,2,New Customers
BM-11575,35,25,10351.33,1354,-189.54,United States,Corporate,1,At-Risk Customers
BM-11650,34,24,14921.0,1238,3927.17,United States,Corporate,1,At-Risk Customers
BM-11785,3,36,18446.85,1390,2036.68,United States,Consumer,1,At-Risk Customers
BM-1575,41,9,1703.98,1399,471.67,Mozambique,Corporate,2,New Customers
BM-1650,482,8,2537.11,753,458.68,Iran,Corporate,3,VIP Customers
BM-1785,49,9,2244.34,1308,475.93,Algeria,Consumer,2,New Customers
BN-11470,12,29,23378.1,1195,1548.04,China,Corporate,1,At-Risk Customers
BN-11515,10,23,10272.23,1376,2018.7,United States,Consumer,1,At-Risk Customers
BN-1470,23,7,2823.85,1113,576.01,Morocco,Corporate,2,New Customers
BN-1515,28,8,2606.8,1179,525.37,Iran,Consumer,2,New Customers
BO-11350,112,20,7476.25,1064,555.19,United States,Corporate,1,At-Risk Customers
BO-11425,6,21,12356.59,1399,1904.9,France,Consumer,1,At-Risk Customers
BO-1350,22,6,616.24,750,-139.97,Turkey,Corporate,2,New Customers
BO-1425,2,8,2671.26,1098,651.93,Poland,Consumer,2,New Customers
BP-1050,12,9,4981.54,1386,1245.88,Turkey,Corporate,2,New Customers
BP-1095,12,6,1759.67,866,384.83,Iraq,Corporate,2,New Customers
BP-11050,6,21,5403.79,1324,845.08,El Salvador,Corporate,1,At-Risk Customers
BP-11095,3,32,8327.87,1445,599.43,United States,Corporate,1,At-Risk Customers
BP-11155,33,24,13696.14,1207,3395.31,United States,Consumer,1,At-Risk Customers
BP-11185,2,28,15376.03,1194,1989.49,United States,Corporate,1,At-Risk Customers
BP-11230,40,23,12573.61,1331,467.92,Australia,Consumer,1,At-Risk Customers
BP-11290,13,29,12448.9,1292,1858.83,United States,Consumer,1,At-Risk Customers
BP-1155,262,6,1110.78,1041,180.9,Canada,Consumer,0,Loyal Customers
BP-1185,5,10,1430.62,779,-645.53,Turkey,Corporate,2,New Customers
BP-1230,84,8,6134.99,1245,444.29,Nigeria,Consumer,2,New Customers
BP-1290,370,4,383.34,1074,99.27,Croatia,Consumer,3,VIP Customers
BS-11365,1,26,22551.03,1337,5680.73,Brazil,Corporate,1,At-Risk Customers
BS-11380,29,23,18305.98,1376,1776.7,United States,Corporate,1,At-Risk Customers
BS-11590,36,23,11358.59,1411,1783.46,China,Corporate,1,At-Risk Customers
BS-11665,30,24,17468.88,1258,3112.16,United States,Consumer,1,At-Risk Customers
BS-11755,2,29,17557.46,1322,1194.73,United States,Consumer,1,At-Risk Customers
BS-11800,10,21,10887.21,1171,1851.86,France,Home Office,1,At-Risk Customers
BS-1365,38,5,957.63,840,288.18,Ghana,Corporate,2,New Customers
BS-1380,132,5,469.46,773,38.33,Morocco,Corporate,0,Loyal Customers
BS-1590,238,5,819.45,1114,262.23,Croatia,Corporate,0,Loyal Customers
BS-1665,153,7,5101.91,1175,500.72,Senegal,Consumer,2,New Customers
BS-1755,296,5,1679.76,788,-697.77,Nigeria,Consumer,0,Loyal Customers
BS-1800,12,9,6364.85,1390,931.34,South Africa,Home Office,2,New Customers
BT-11305,29,24,10321.82,1429,908.18,Germany,Home Office,1,At-Risk Customers
BT-11395,29,24,11347.53,1364,2743.96,United States,Corporate,1,At-Risk Customers
BT-11440,52,21,8263.98,1255,290.93,United States,Consumer,1,At-Risk Customers
BT-11485,31,29,8878.05,1396,1170.75,France,Home Office,1,At-Risk Customers
BT-11530,34,25,13808.32,1287,930.83,United States,Home Office,1,At-Risk Customers
BT-11680,19,22,14087.76,1368,1663.91,United States,Consumer,1,At-Risk Customers
BT-1305,32,10,1305.96,1152,-44.25,Zimbabwe,Home Office,2,New Customers
BT-1395,34,4,448.85,605,-199.03,Zimbabwe,Corporate,2,New Customers
BT-1440,94,10,2132.56,1274,-760.72,Turkey,Consumer,2,New Customers
BT-1485,98,9,2803.97,1339,-231.13,Turkey,Home Office,2,New Customers
BT-1530,353,7,1535.78,1083,522.8,Canada,Home Office,0,Loyal Customers
BT-1680,58,4,807.36,1048,131.64,Egypt,Consumer,2,New Customers
BV-11245,45,22,20681.68,1264,3415.05,United States,Corporate,1,At-Risk Customers
BV-1245,129,3,684.26,1174,-595.3,Turkey,Corporate,0,Loyal Customers
BW-1065,23,5,9027.48,910,3341.34,Democratic Republic of the Congo,Consumer,2,New Customers
BW-11065,51,18,8409.06,1384,354.06,Australia,Consumer,1,At-Risk Customers
BW-1110,185,10,1696.83,1211,258.42,Ukraine,Corporate,0,Loyal Customers
BW-11110,55,35,30613.62,1360,3337.47,United States,Corporate,1,At-Risk Customers
BW-11200,41,29,11862.37,1408,1567.88,United States,Consumer,1,At-Risk Customers
BW-1200,134,4,3105.82,1266,784.33,Sudan,Consumer,2,New Customers
CA-11965,19,26,21110.52,1416,3382.26,United States,Corporate,1,At-Risk Customers
CA-12055,14,22,10691.03,1368,1738.37,Mexico,Home Office,1,At-Risk Customers
CA-12265,35,31,18472.67,1401,3270.72,United States,Consumer,1,At-Risk Customers
CA-12310,14,21,7166.23,1332,727.93,United States,Corporate,1,At-Risk Customers
CA-12775,94,26,18350.46,1189,4605.48,United States,Consumer,1,At-Risk Customers
CA-1965,128,8,2883.14,882,-103.18,Romania,Corporate,2,New Customers
CA-2055,259,3,1601.73,731,131.4,Iran,Home Office,0,Loyal Customers
CA-2265,106,7,3364.64,1094,391.4,Bulgaria,Consumer,2,New Customers
CA-2310,337,5,636.06,1043,139.23,Iraq,Corporate,0,Loyal Customers
CA-2775,310,4,1485.9,994,-714.21,Turkey,Consumer,0,Loyal Customers
CB-12025,10,25,11685.32,1372,-98.73,United States,Consumer,1,At-Risk Customers
CB-12415,27,23,12705.55,1250,2271.9,United States,Consumer,1,At-Risk Customers
CB-12535,43,27,18108.67,1397,2401.91,United States,Corporate,1,At-Risk Customers
CB-2025,23,5,1840.89,495,307.56,Iran,Consumer,2,New Customers
CB-2415,517,4,1232.57,890,-184.81,Iraq,Consumer,3,VIP Customers
CB-2535,8,2,147.12,345,-234.69,Nigeria,Corporate,2,New Customers
CC-12100,52,25,11500.12,1091,2384.26,United States,Home Office,1,At-Risk Customers
CC-12145,83,24,12190.67,1178,1471.93,United States,Consumer,1,At-Risk Customers
CC-12220,21,32,7308.73,1379,1315.81,United States,Consumer,1,At-Risk Customers
CC-12370,44,30,28229.85,1383,3982.93,United States,Consumer,1,At-Risk Customers
CC-12430,1,29,13997.59,1437,2779.92,United States,Home Office,1,At-Risk Customers
CC-12475,17,30,17159.8,1309,3120.16,United States,Consumer,1,At-Risk Customers
CC-12550,28,25,7908.65,1358,1167.46,Australia,Consumer,1,At-Risk Customers
CC-12610,17,29,16822.64,1248,2950.19,United States,Corporate,1,At-Risk Customers
CC-12670,17,28,9969.03,1342,-549.58,United States,Consumer,1,At-Risk Customers
CC-12685,55,20,12798.54,1326,693.63,United States,Consumer,1,At-Risk Customers
CC-2100,61,5,1020.05,693,238.37,Hungary,Home Office,2,New Customers
CC-2145,505,6,1158.18,789,-164.13,Turkey,Consumer,3,VIP Customers
CC-2220,22,12,4174.18,1265,1190.08,Canada,Consumer,2,New Customers
CC-2370,7,9,6957.22,1393,1620.4,Russia,Consumer,2,New Customers
CC-2430,472,2,1041.57,381,160.59,Algeria,Home Office,3,VIP Customers
CC-2475,56,7,3709.88,1283,914.69,Angola,Consumer,2,New Customers
CC-2550,272,5,1433.4,1036,357.09,Egypt,Consumer,0,Loyal Customers
CC-2610,345,3,782.39,346,52.82,Turkey,Corporate,0,Loyal Customers
CC-2670,147,6,1527.58,1101,268.6,Ghana,Consumer,0,Loyal Customers
CC-2685,132,5,4019.41,975,1556.23,Morocco,Consumer,2,New Customers
CD-11920,3,27,18296.75,1388,4751.73,France,Consumer,1,At-Risk Customers
CD-11980,2,23,11848.16,1379,1648.44,Australia,Consumer,1,At-Risk Customers
CD-12280,42,24,16779.55,1242,2367.38,United States,Consumer,1,At-Risk Customers
CD-12790,77,25,13468.11,1351,2080.48,United States,Home Office,1,At-Risk Customers
CD-1920,315,4,1821.22,774,277.18,Russia,Consumer,0,Loyal Customers
CD-1980,7,7,1380.23,1343,231.92,Nigeria,Consumer,2,New Customers
CD-2280,13,7,1205.04,822,224.4,Guinea,Consumer,2,New Customers
CD-2790,132,7,1030.79,1025,73.82,Algeria,Home Office,0,Loyal Customers
CG-12040,22,19,3596.27,1146,149.07,United States,Home Office,1,At-Risk Customers
CG-12520,29,18,13545.47,1246,2398.13,France,Consumer,1,At-Risk Customers
CG-2040,379,5,518.94,887,-395.91,Turkey,Home Office,3,VIP Customers
CG-2520,120,7,1116.2,603,168.44,Nigeria,Consumer,2,New Customers
CH-12070,90,21,11122.56,1270,1493.42,France,Home Office,1,At-Risk Customers
CH-2070,307,8,4545.62,711,1178.09,Czech Republic,Home Office,0,Loyal Customers
CJ-11875,14,23,12538.83,1178,1857.24,Australia,Corporate,1,At-Risk Customers
CJ-12010,34,26,19356.0,1275,2386.72,United States,Consumer,1,At-Risk Customers
CJ-1875,33,6,1431.43,1174,100.18,Iran,Corporate,2,New Customers
CJ-2010,47,3,223.56,1096,30.87,Morocco,Consumer,2,New Customers
CK-12205,5,38,13625.21,1387,1311.21,United States,Consumer,1,At-Risk Customers
CK-12325,62,27,9927.9,1327,849.52,United States,Home Office,1,At-Risk Customers
CK-12595,44,33,16480.87,1208,2175.85,United States,Consumer,1,At-Risk Customers
CK-12760,58,26,6574.8,1365,-100.51,United States,Corporate,1,At-Risk Customers
CK-2205,80,5,950.7,923,-345.39,Yemen,Consumer,2,New Customers
CK-2325,1,8,3125.3,1190,531.2,Iraq,Home Office,2,New Customers
CK-2595,216,3,662.28,400,197.79,Iran,Consumer,0,Loyal Customers
CK-2760,38,12,4015.95,885,625.89,Senegal,Corporate,2,New Customers
CL-11890,14,31,17622.41,1426,-247.74,United States,Consumer,1,At-Risk Customers
CL-12565,6,30,17008.14,1416,614.58,United States,Consumer,1,At-Risk Customers
CL-12700,9,31,17943.65,1438,2563.44,Mexico,Home Office,1,At-Risk Customers
CL-1890,93,9,560.74,1275,83.48,Poland,Consumer,2,New Customers
CL-2565,43,6,2775.64,1248,708.85,Algeria,Consumer,2,New Customers
CL-2700,142,4,1432.37,425,106.88,Cote d'Ivoire,Home Office,0,Loyal Customers
CM-11815,41,23,14362.8,1348,-2881.64,United States,Corporate,1,At-Risk Customers
CM-11830,7,24,16828.82,1266,2444.7,France,Corporate,1,At-Risk Customers
CM-11935,37,18,9689.01,1188,2081.09,Germany,Consumer,1,At-Risk Customers
CM-12115,9,20,14657.95,1412,2164.82,Vietnam,Consumer,1,At-Risk Customers
CM-12160,27,26,17910.04,1404,432.56,France,Consumer,1,At-Risk Customers
CM-12190,1,25,11375.05,1304,598.48,France,Consumer,1,At-Risk Customers
CM-12235,43,22,11377.59,1416,1954.0,United States,Consumer,1,At-Risk Customers
CM-12385,38,25,21882.97,1416,3029.96,United States,Consumer,1,At-Risk Customers
CM-12445,16,25,11971.71,1286,1188.13,Mexico,Consumer,1,At-Risk Customers
CM-12655,28,18,14188.72,1140,-733.96,United States,Home Office,1,At-Risk Customers
CM-12715,42,19,8392.58,1354,915.39,United States,Corporate,1,At-Risk Customers
CM-1815,62,5,431.87,1095,82.85,Morocco,Corporate,2,New Customers
CM-1830,114,13,4777.41,1121,39.99,Nigeria,Corporate,2,New Customers
CM-1935,49,7,459.29,1359,125.27,Nigeria,Consumer,2,New Customers
CM-2115,21,3,1907.37,290,277.53,Egypt,Consumer,2,New Customers
CM-2160,50,5,2245.92,1183,314.13,Egypt,Consumer,2,New Customers
CM-2190,153,4,1451.49,634,-480.69,Hungary,Consumer,0,Loyal Customers
CM-2235,52,5,243.03,866,-66.3,Turkey,Consumer,2,New Customers
CM-2385,575,4,580.61,545,-19.93,Mozambique,Consumer,3,VIP Customers
CM-2445,349,4,1741.58,998,288.53,Israel,Consumer,0,Loyal Customers
CM-2655,51,12,1389.83,1193,-221.11,Turkey,Home Office,2,New Customers
CM-2715,118,7,2838.26,1212,294.95,Nigeria,Corporate,2,New Customers
CP-12085,70,23,14183.88,1054,620.38,United States,Corporate,1,At-Risk Customers
CP-12340,9,30,20109.47,1429,182.97,United States,Corporate,1,At-Risk Customers
CP-2085,143,10,5585.7,1141,1130.19,South Africa,Corporate,2,New Customers
CP-2340,464,4,5044.65,775,1565.31,Algeria,Corporate,3,VIP Customers
CR-12580,23,20,8700.31,1215,818.03,Australia,Home Office,1,At-Risk Customers
CR-12625,44,28,17271.21,1351,1478.58,Indonesia,Home Office,1,At-Risk Customers
CR-12730,23,24,19487.96,1207,1648.04,Brazil,Consumer,1,At-Risk Customers
CR-12820,61,24,14470.55,1239,3391.19,India,Home Office,1,At-Risk Customers
CR-2580,35,5,3057.26,413,1127.96,Egypt,Home Office,2,New Customers
