Product ID,Product Name,Category,Sub-Category,Total_Sales,Transaction_Count,Avg_Sale,Total_Profit,Avg_Profit,Total_Quantity,Avg_Discount,Profit_Margin,Sales_per_Transaction,Cumulative_Sales,Cumulative_Percentage,ABC_Class,CoV,XYZ_Class,ABC_XYZ_Matrix
FUR-CH-10002247,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,0.76,11,0.07,4.96,0.45,2.31,0.12,652.6315789473684,0.06909090909090909,17.400000000000002,3.1331028522039754,A - High Value,0.0,X - Stable Demand,AX
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,0.75,3,0.25,1.3,0.43,0.62,0.08,173.33333333333334,0.25,18.150000000000002,3.2681503889369052,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10001934,"Bush Library with Doors, Metal",Furniture,Bookcases,0.75,14,0.05,6.14,0.44,2.92,0.14,818.6666666666665,0.05357142857142857,18.900000000000002,3.4031979256698355,A - High Value,0.0,X - Stable Demand,AX
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,0.74,4,0.19,1.45,0.36,1.08,0.47,195.94594594594594,0.185,19.64,3.5364448285796595,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10000303,"Samsung Smart Phone, VoIP",Technology,Phones,0.74,6,0.12,3.0,0.5,1.92,0.12,405.4054054054054,0.12333333333333334,20.38,3.6696917314894835,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10002213,"Hon Executive Leather Armchair, Black",Furniture,Chairs,0.74,12,0.06,5.16,0.43,2.54,0.2,697.2972972972973,0.06166666666666667,21.119999999999997,3.8029386343993075,A - High Value,0.0,X - Stable Demand,AX
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,0.74,6,0.12,2.55,0.43,1.23,0.12,344.5945945945946,0.12333333333333334,21.859999999999996,3.936185537309131,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10004196,"Samsung Smart Phone, Cordless",Technology,Phones,0.72,10,0.07,4.27,0.43,2.77,0.19,593.0555555555555,0.072,22.579999999999995,4.065831172572744,A - High Value,0.0,X - Stable Demand,AX
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,0.7,3,0.23,1.54,0.51,0.77,0.39,220.00000000000003,0.2333333333333333,23.279999999999994,4.1918755401901455,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10000602,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,0.69,8,0.09,3.5,0.44,2.15,0.09,507.24637681159425,0.08625,23.969999999999995,4.316119273984441,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,0.69,5,0.14,2.16,0.43,1.46,0.28,313.0434782608696,0.13799999999999998,24.659999999999997,4.440363007778736,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",Furniture,Chairs,0.68,10,0.07,4.33,0.43,2.08,0.13,636.7647058823529,0.068,25.339999999999996,4.5628061077499265,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10002250,"Office Star Executive Leather Armchair, Black",Furniture,Chairs,0.68,10,0.07,4.81,0.48,2.08,0.12,707.3529411764705,0.068,26.019999999999996,4.6852492077211165,A - High Value,0.0,X - Stable Demand,AX
TEC-CIS-10002344,"Cisco Smart Phone, Full Size",Technology,Phones,0.67,8,0.08,3.72,0.46,1.23,0.1,555.223880597015,0.08375,26.689999999999998,4.8058916738692,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10002815,"Samsung Smart Phone, VoIP",Technology,Phones,0.67,8,0.08,3.59,0.45,2.31,0.06,535.820895522388,0.08375,27.36,4.926534140017285,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10002759,"Cisco Smart Phone, Cordless",Technology,Phones,0.65,6,0.11,2.87,0.48,1.77,0.18,441.53846153846155,0.10833333333333334,28.009999999999998,5.043575338519157,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10002573,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,0.64,12,0.05,5.37,0.45,1.69,0.1,839.0625,0.05333333333333334,28.65,5.158815903197924,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10004852,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,0.64,7,0.09,3.4,0.49,2.15,0.09,531.25,0.09142857142857143,29.29,5.274056467876691,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10001751,"Samsung Smart Phone, Cordless",Technology,Phones,0.64,7,0.09,3.37,0.48,1.38,0.09,526.5625,0.09142857142857143,29.93,5.389297032555458,A - High Value,0.0,X - Stable Demand,AX
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,0.63,2,0.32,1.13,0.56,0.69,0.0,179.36507936507934,0.315,30.56,5.502736963411119,A - High Value,0.0,X - Stable Demand,AX
TEC-CIS-10002259,"Cisco Smart Phone, Cordless",Technology,Phones,0.63,11,0.06,4.93,0.45,1.69,0.43,782.5396825396825,0.057272727272727274,31.189999999999998,5.61617689426678,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10003457,"Cisco Smart Phone, Full Size",Technology,Phones,0.63,9,0.07,4.26,0.47,1.92,0.08,676.1904761904761,0.07,31.819999999999997,5.7296168251224415,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones,0.62,6,0.1,2.76,0.46,2.54,0.16,445.1612903225806,0.10333333333333333,32.44,5.841256122154997,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",Technology,Phones,0.61,5,0.12,2.44,0.49,1.46,0.12,400.0,0.122,33.05,5.951094785364446,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10001670,"Motorola Smart Phone, Full Size",Technology,Phones,0.61,5,0.12,2.48,0.5,1.46,0.1,406.55737704918033,0.122,33.66,6.060933448573896,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10004774,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,0.61,10,0.06,4.45,0.44,2.62,0.31,729.5081967213116,0.061,34.269999999999996,6.170772111783346,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10000169,"Apple Smart Phone, with Caller ID",Technology,Phones,0.59,7,0.08,3.41,0.49,1.62,0.17,577.9661016949153,0.08428571428571428,34.86,6.277009507346584,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10000160,"Motorola Smart Phone, with Caller ID",Technology,Phones,0.59,6,0.1,2.71,0.45,1.46,0.24,459.3220338983051,0.09833333333333333,35.45,6.383246902909823,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10002601,"Motorola Smart Phone, Cordless",Technology,Phones,0.58,9,0.06,3.89,0.43,1.08,0.1,670.6896551724138,0.06444444444444444,36.03,6.487683664649955,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10002623,"Cisco Smart Phone, with Caller ID",Technology,Phones,0.58,7,0.08,3.35,0.48,1.38,0.3,577.5862068965517,0.08285714285714285,36.61,6.592120426390087,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10000018,"Nokia Smart Phone, Full Size",Technology,Phones,0.58,9,0.06,4.13,0.46,1.77,0.05,712.0689655172414,0.06444444444444444,37.19,6.69655718813022,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10002885,Apple iPhone 5,Technology,Phones,0.57,6,0.1,2.75,0.46,1.38,0.24,482.4561403508772,0.09499999999999999,37.76,6.799193316047248,A - High Value,0.0,X - Stable Demand,AX
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,0.57,12,0.05,5.26,0.44,2.62,0.29,922.8070175438597,0.047499999999999994,38.33,6.901829443964274,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,0.57,9,0.06,4.02,0.45,1.77,0.24,705.2631578947368,0.06333333333333332,38.9,7.0044655718813,A - High Value,0.0,X - Stable Demand,AX
TEC-APP-10002966,"Apple Smart Phone, Full Size",Technology,Phones,0.56,6,0.09,2.88,0.48,1.08,0.0,514.2857142857142,0.09333333333333334,39.46,7.1053010659752225,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10000493,"Apple Smart Phone, Full Size",Technology,Phones,0.56,7,0.08,3.22,0.46,1.23,0.2,575.0,0.08,40.02,7.206136560069143,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10002683,"Apple Smart Phone, Cordless",Technology,Phones,0.54,7,0.08,3.28,0.47,1.23,0.19,607.4074074074074,0.07714285714285715,40.56,7.303370786516853,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10001699,"Samsung Smart Phone, Full Size",Technology,Phones,0.54,6,0.09,2.68,0.45,1.23,0.12,496.2962962962963,0.09000000000000001,41.1,7.4006050129645615,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10002203,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,0.54,5,0.11,2.53,0.51,1.92,0.14,468.5185185185184,0.10800000000000001,41.64,7.497839239412271,A - High Value,0.0,X - Stable Demand,AX
OFF-ST-10002506,"Smead Lockers, Blue",Office Supplies,Storage,0.54,12,0.04,5.3,0.44,4.62,0.19,981.4814814814813,0.045000000000000005,42.18,7.595073465859981,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10001990,"Cisco Smart Phone, Full Size",Technology,Phones,0.53,4,0.13,1.94,0.49,1.31,0.15,366.03773584905656,0.1325,42.71,7.6905070584845845,A - High Value,0.0,X - Stable Demand,AX
OFF-AP-10001623,"Hoover Stove, White",Office Supplies,Appliances,0.52,6,0.09,2.31,0.38,1.92,0.24,444.2307692307692,0.08666666666666667,43.230000000000004,7.784140017286084,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10001415,"Office Star Executive Leather Armchair, Red",Furniture,Chairs,0.52,7,0.07,3.28,0.47,1.54,0.06,630.7692307692307,0.07428571428571429,43.75000000000001,7.8777729760875825,A - High Value,0.0,X - Stable Demand,AX
OFF-ST-10001758,"Rogers Lockers, Blue",Office Supplies,Storage,0.52,15,0.03,6.55,0.44,3.69,0.15,1259.6153846153845,0.034666666666666665,44.27000000000001,7.971405934889081,A - High Value,0.0,X - Stable Demand,AX
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers,0.51,4,0.13,2.06,0.52,1.15,0.18,403.92156862745094,0.1275,44.78000000000001,8.063238259867472,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10000780,"Cisco Smart Phone, with Caller ID",Technology,Phones,0.51,6,0.09,2.9,0.48,1.08,0.13,568.627450980392,0.085,45.290000000000006,8.155070584845864,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10001501,"Bush Classic Bookcase, Metal",Furniture,Bookcases,0.51,9,0.06,4.23,0.47,1.77,0.19,829.4117647058824,0.05666666666666667,45.800000000000004,8.246902909824257,A - High Value,0.0,X - Stable Demand,AX
OFF-AP-10000675,"Hamilton Beach Stove, White",Office Supplies,Appliances,0.51,5,0.1,2.22,0.44,1.46,0.16,435.2941176470589,0.10200000000000001,46.31,8.33873523480265,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,0.51,13,0.04,5.8,0.45,3.08,0.24,1137.254901960784,0.03923076923076923,46.82,8.430567559781041,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10002035,"Samsung Smart Phone, Cordless",Technology,Phones,0.5,5,0.1,2.12,0.42,1.23,0.13,424.0,0.1,47.32,8.520599250936328,A - High Value,0.0,X - Stable Demand,AX
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,0.5,8,0.06,3.74,0.47,2.46,0.06,748.0,0.0625,47.82,8.610630942091614,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10003232,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,0.5,6,0.08,2.78,0.46,1.77,0.2,556.0,0.08333333333333333,48.32,8.700662633246901,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10002867,"Cisco Smart Phone, with Caller ID",Technology,Phones,0.5,8,0.06,3.49,0.44,1.46,0.06,698.0,0.0625,48.82,8.790694324402187,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10004505,"Nokia Smart Phone, Full Size",Technology,Phones,0.5,6,0.08,2.56,0.43,1.23,0.23,512.0,0.08333333333333333,49.32,8.880726015557475,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10000660,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,0.5,7,0.07,3.27,0.47,1.54,0.11,654.0,0.07142857142857142,49.82,8.97075770671276,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10000891,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,0.5,8,0.06,3.57,0.45,2.85,0.29,714.0,0.0625,50.32,9.060789397868048,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10004583,"Motorola Smart Phone, Cordless",Technology,Phones,0.49,4,0.12,1.74,0.44,1.15,0.19,355.1020408163265,0.1225,50.81,9.149020455200228,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10002935,"Samsung Smart Phone, VoIP",Technology,Phones,0.49,5,0.1,2.12,0.42,1.15,0.14,432.6530612244898,0.098,51.300000000000004,9.23725151253241,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,0.49,6,0.08,2.65,0.44,1.62,0.22,540.8163265306122,0.08166666666666667,51.790000000000006,9.325482569864592,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10003941,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,0.49,11,0.04,4.92,0.45,2.38,0.15,1004.0816326530612,0.04454545454545455,52.28000000000001,9.413713627196772,A - High Value,0.0,X - Stable Demand,AX
FUR-TA-10001786,"Chromcraft Computer Table, with Bottom Storage",Furniture,Tables,0.49,5,0.1,2.25,0.45,1.92,0.2,459.1836734693878,0.098,52.77000000000001,9.501944684528954,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10000419,"Apple Smart Phone, Full Size",Technology,Phones,0.49,6,0.08,2.66,0.44,1.54,0.0,542.8571428571429,0.08166666666666667,53.26000000000001,9.590175741861136,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10003103,"Ikea Classic Bookcase, Metal",Furniture,Bookcases,0.49,9,0.05,3.96,0.44,1.85,0.18,808.1632653061224,0.05444444444444444,53.750000000000014,9.678406799193317,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10000499,"Motorola Smart Phone, Full Size",Technology,Phones,0.49,4,0.12,1.81,0.45,1.15,0.11,369.38775510204084,0.1225,54.240000000000016,9.766637856525499,A - High Value,0.0,X - Stable Demand,AX
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Technology,Machines,0.49,3,0.16,0.73,0.24,0.46,0.63,148.9795918367347,0.16333333333333333,54.73000000000002,9.854868913857679,A - High Value,0.0,X - Stable Demand,AX
FUR-TA-10001889,"Bevis Conference Table, Fully Assembled",Furniture,Tables,0.49,4,0.12,1.71,0.43,0.85,0.23,348.9795918367347,0.1225,55.22000000000002,9.94309997118986,A - High Value,0.0,X - Stable Demand,AX
OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,0.48,11,0.04,4.95,0.45,2.46,0.06,1031.25,0.04363636363636363,55.70000000000002,10.029530394698934,A - High Value,0.0,X - Stable Demand,AX
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,0.48,10,0.05,4.61,0.46,1.92,0.09,960.4166666666667,0.048,56.180000000000014,10.11596081820801,A - High Value,0.0,X - Stable Demand,AX
TEC-APP-10000308,"Apple Smart Phone, Full Size",Technology,Phones,0.48,9,0.05,4.05,0.45,0.92,0.26,843.75,0.05333333333333333,56.66000000000001,10.202391241717084,A - High Value,0.0,X - Stable Demand,AX
TEC-CO-10000013,"Brother Fax Machine, Laser",Technology,Copiers,0.48,8,0.06,3.76,0.47,2.38,0.12,783.3333333333333,0.06,57.14000000000001,10.288821665226159,A - High Value,0.0,X - Stable Demand,AX
OFF-AP-10002793,"KitchenAid Stove, Black",Office Supplies,Appliances,0.47,5,0.09,2.32,0.46,1.23,0.12,493.6170212765957,0.094,57.61000000000001,10.373451454912127,A - High Value,0.0,X - Stable Demand,AX
TEC-CO-10004997,"Hewlett Wireless Fax, Color",Technology,Copiers,0.47,8,0.06,3.84,0.48,1.62,0.04,817.0212765957447,0.05875,58.080000000000005,10.458081244598096,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10001471,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,0.47,4,0.12,2.07,0.52,1.69,0.06,440.42553191489355,0.1175,58.550000000000004,10.542711034284066,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10000567,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,0.47,8,0.06,3.58,0.45,2.69,0.24,761.7021276595746,0.05875,59.02,10.627340823970036,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,0.47,12,0.04,5.41,0.45,3.0,0.17,1151.0638297872342,0.03916666666666666,59.49,10.711970613656005,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10002774,"Nokia Smart Phone, with Caller ID",Technology,Phones,0.46,6,0.08,2.86,0.48,1.69,0.16,621.7391304347825,0.07666666666666667,59.95,10.79479976951887,A - High Value,0.0,X - Stable Demand,AX
TEC-MOT-10003050,"Motorola Smart Phone, Cordless",Technology,Phones,0.46,7,0.07,2.81,0.4,1.31,0.22,610.8695652173913,0.06571428571428571,60.410000000000004,10.877628925381732,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10004999,"Safco Classic Bookcase, Metal",Furniture,Bookcases,0.46,5,0.09,2.51,0.5,1.54,0.07,545.6521739130434,0.092,60.870000000000005,10.960458081244596,A - High Value,0.0,X - Stable Demand,AX
TEC-CO-10000447,"Canon Wireless Fax, Color",Technology,Copiers,0.46,6,0.08,2.85,0.48,1.92,0.11,619.5652173913043,0.07666666666666667,61.330000000000005,11.04328723710746,A - High Value,0.0,X - Stable Demand,AX
OFF-ST-10004377,"Rogers File Cart, Single Width",Office Supplies,Storage,0.46,19,0.02,8.43,0.44,5.38,0.2,1832.6086956521738,0.024210526315789474,61.790000000000006,11.126116392970324,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10003002,"Cisco Smart Phone, Full Size",Technology,Phones,0.46,4,0.12,1.87,0.47,0.92,0.0,406.52173913043475,0.115,62.25000000000001,11.208945548833189,A - High Value,0.0,X - Stable Demand,AX
TEC-CO-10002035,"Canon Wireless Fax, High-Speed",Technology,Copiers,0.45,7,0.06,3.07,0.44,1.77,0.11,682.2222222222222,0.0642857142857143,62.70000000000001,11.289974070872946,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10000106,"Apple Smart Phone, Full Size",Technology,Phones,0.45,8,0.06,3.59,0.45,1.31,0.06,797.7777777777777,0.05625,63.15000000000001,11.371002592912705,A - High Value,0.0,X - Stable Demand,AX
TEC-AC-10003832,LogitechÂ P710e Mobile Speakerphone,Technology,Accessories,0.45,9,0.05,4.07,0.45,2.46,0.08,904.4444444444445,0.05,63.600000000000016,11.452031114952463,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10001749,"Bush Classic Bookcase, Traditional",Furniture,Bookcases,0.45,7,0.06,3.06,0.44,1.54,0.15,680.0,0.0642857142857143,64.05000000000001,11.53305963699222,A - High Value,0.0,X - Stable Demand,AX
OFF-ST-10001547,"Rogers Lockers, Industrial",Office Supplies,Storage,0.44,14,0.03,6.34,0.45,3.08,0.13,1440.9090909090908,0.03142857142857143,64.49000000000001,11.612287525208872,A - High Value,0.0,X - Stable Demand,AX
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,0.44,5,0.09,2.01,0.4,1.69,0.33,456.81818181818176,0.088,64.93,11.691515413425524,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10001396,"Nokia Smart Phone, Cordless",Technology,Phones,0.44,4,0.11,1.94,0.48,1.0,0.12,440.90909090909093,0.11,65.37,11.770743301642177,A - High Value,0.0,X - Stable Demand,AX
TEC-CO-10000137,"Canon Wireless Fax, Color",Technology,Copiers,0.44,9,0.05,4.08,0.45,2.54,0.13,927.2727272727274,0.04888888888888889,65.81,11.849971189858827,A - High Value,0.0,X - Stable Demand,AX
OFF-AP-10004964,"Hoover Stove, White",Office Supplies,Appliances,0.44,4,0.11,1.87,0.47,1.23,0.12,425.0,0.11,66.25,11.929199078075479,A - High Value,0.0,X - Stable Demand,AX
OFF-ST-10003716,Tennsco Double-Tier Lockers,Office Supplies,Storage,0.43,12,0.04,5.31,0.44,2.69,0.12,1234.8837209302324,0.035833333333333335,66.68,12.006626332469029,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10004707,"Ikea Library with Doors, Traditional",Furniture,Bookcases,0.43,6,0.07,2.53,0.42,2.0,0.16,588.3720930232558,0.07166666666666667,67.11000000000001,12.084053586862575,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10001498,"Dania Classic Bookcase, Pine",Furniture,Bookcases,0.43,10,0.04,4.59,0.46,2.31,0.16,1067.4418604651162,0.043,67.54000000000002,12.161480841256122,A - High Value,0.0,X - Stable Demand,AX
OFF-AP-10003275,"KitchenAid Microwave, Silver",Office Supplies,Appliances,0.43,8,0.05,3.57,0.45,2.0,0.13,830.232558139535,0.05375,67.97000000000003,12.238908095649672,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10003856,"Motorola Smart Phone, with Caller ID",Technology,Phones,0.43,3,0.14,1.41,0.47,0.92,0.0,327.90697674418607,0.14333333333333334,68.40000000000003,12.316335350043218,A - High Value,0.0,X - Stable Demand,AX
TEC-CO-10001654,"Hewlett Wireless Fax, Digital",Technology,Copiers,0.42,6,0.07,2.87,0.48,1.62,0.1,683.3333333333334,0.06999999999999999,68.82000000000004,12.39196197061366,A - High Value,0.0,X - Stable Demand,AX
OFF-AP-10002244,"Breville Refrigerator, White",Office Supplies,Appliances,0.42,3,0.14,1.51,0.5,1.31,0.11,359.5238095238095,0.13999999999999999,69.24000000000004,12.4675885911841,A - High Value,0.0,X - Stable Demand,AX
OFF-AP-10003590,"KitchenAid Refrigerator, Black",Office Supplies,Appliances,0.42,3,0.14,1.48,0.49,1.38,0.2,352.38095238095235,0.13999999999999999,69.66000000000004,12.543215211754541,A - High Value,0.0,X - Stable Demand,AX
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,0.42,7,0.06,2.95,0.42,2.0,0.41,702.3809523809524,0.06,70.08000000000004,12.618841832324984,A - High Value,0.0,X - Stable Demand,AX
OFF-ST-10003785,"Eldon Lockers, Blue",Office Supplies,Storage,0.42,16,0.03,6.94,0.43,3.54,0.28,1652.3809523809525,0.02625,70.50000000000004,12.694468452895425,A - High Value,0.0,X - Stable Demand,AX
TEC-CAN-10001437,"Canon Wireless Fax, Laser",Technology,Copiers,0.42,6,0.07,2.95,0.49,1.54,0.12,702.3809523809524,0.06999999999999999,70.92000000000004,12.770095073465864,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10002061,"Harbour Creations Executive Leather Armchair, Red",Furniture,Chairs,0.41,8,0.05,3.52,0.44,1.38,0.22,858.5365853658537,0.05125,71.33000000000004,12.843921060213198,A - High Value,0.0,X - Stable Demand,AX
